"","Sample","Class","Bin.9.98","Bin.9.94","Bin.9.90","Bin.9.86","Bin.9.82","Bin.9.78","Bin.9.74","Bin.9.70"
"1","P002","patient",2e-05,2e-05,2e-05,2e-05,4e-05,2e-05,1e-05,0
"2","P012","patient",-3e-05,-3e-05,-3e-05,-1e-05,-1e-05,0,3e-05,3e-05
"3","P014","patient",0.00024,0.00017,0.00016,0.00018,0.00014,0.00015,0.00016,2e-04
"4","P027","patient",9e-05,0.00013,9e-05,9e-05,0.00014,1e-04,0.00014,0.00016
"5","P034","patient",0.00012,0.00015,2e-05,3e-05,7e-05,7e-05,3e-05,4e-05
"6","P037","patient",1e-05,-1e-05,2e-05,-3e-05,-6e-05,6e-05,4e-05,6e-05
"7","P038","patient",1e-05,1e-05,1e-05,-5e-05,-1e-05,-5e-05,2e-05,5e-05
"8","P041","patient",-9e-05,-6e-05,-7e-05,1e-05,-0.00012,-6e-05,-1e-05,-1e-05
"9","P042","patient",0.00015,8e-05,0.00017,3e-05,3e-05,-0.00011,2e-05,6e-05
"10","P049","patient",0,-1e-05,1e-05,1e-05,2e-05,-1e-05,2e-05,2e-05
"11","P056","patient",3e-05,2e-05,2e-05,4e-05,-3e-05,-2e-05,0,2e-05
"12","P058","patient",-3e-05,-2e-05,-4e-05,-4e-05,-3e-05,-5e-05,-2e-05,-2e-05
"13","P060","patient",-6e-05,-3e-05,-3e-05,0,2e-05,-3e-05,1e-05,-2e-05
"14","P064","patient",2e-05,1e-05,2e-05,3e-05,5e-05,3e-05,4e-05,5e-05
"15","P065","patient",-1e-05,-1e-05,3e-05,3e-05,1e-05,3e-05,4e-05,3e-05
"16","P070","patient",-1e-05,-1e-05,-1e-05,-3e-05,-1e-05,0,0,-2e-05
"17","P080","patient",0,1e-05,0,0,1e-05,0,2e-05,2e-05
"18","P085","patient",1e-05,7e-05,5e-05,5e-05,6e-05,3e-05,2e-05,1e-04
"19","P086","patient",-1e-05,1e-05,1e-05,-1e-05,-1e-05,3e-05,-2e-05,7e-05
"20","P089","patient",1e-05,0,1e-05,2e-05,3e-05,3e-05,4e-05,5e-05
"21","P092","patient",-3e-05,-3e-05,-3e-05,-1e-05,0,0,3e-05,-1e-05
"22","P099","patient",0,0,2e-05,-1e-05,-4e-05,3e-05,5e-05,1e-05
"23","P113","patient",-2e-05,1e-05,-4e-05,-2e-05,-7e-05,-4e-05,-1e-05,1e-05
"24","P013b","patient",-2e-05,-2e-05,-1e-05,-1e-05,-2e-05,0,0,1e-05
"25","P100b","patient",1e-05,1e-05,1e-05,1e-05,0,2e-05,3e-05,3e-05
"26","C002","control",1e-05,1e-05,1e-05,2e-05,1e-05,1e-05,2e-05,0
"27","C004","control",3e-05,0,0,2e-05,1e-05,0,1e-05,3e-05
"28","C005","control",1e-05,-1e-05,3e-05,-1e-05,0,0,5e-05,-1e-05
"29","C006","control",1e-05,2e-05,2e-05,2e-05,2e-05,1e-05,2e-05,2e-05
"30","C007","control",2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05
"31","C009","control",1e-05,1e-05,-2e-05,-4e-05,-1e-05,-3e-05,0,-1e-05
"32","C010","control",-1e-05,1e-05,2e-05,3e-05,1e-05,1e-05,0,-1e-05
"33","C011","control",-2e-05,-2e-05,-3e-05,-1e-05,-1e-05,0,0,1e-05
"34","C012","control",0,0,-1e-05,1e-05,0,1e-05,3e-05,2e-05
"35","C015","control",-1e-05,-1e-05,1e-05,-1e-05,-1e-05,-1e-05,2e-05,2e-05
"36","C016","control",-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,1e-05,-1e-05,1e-05
"37","C017","control",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05,1e-05
"38","C019","control",0,-1e-05,0,-1e-05,1e-05,1e-05,0,-1e-05
"39","C020","control",-2e-05,-1e-05,-2e-05,0,2e-05,-1e-05,1e-05,-1e-05
"40","C021","control",0,0,-1e-05,0,0,-1e-05,1e-05,1e-05
"41","C022","control",3e-05,1e-05,2e-05,7e-05,4e-05,2e-05,1e-05,3e-05
"42","C024","control",-1e-05,-1e-05,0,0,1e-05,1e-05,3e-05,1e-05
"43","C026","control",1e-05,2e-05,5e-05,4e-05,3e-05,2e-05,4e-05,0
"44","C028","control",1e-05,1e-05,1e-05,1e-05,1e-05,2e-05,2e-05,2e-05
"45","C029","control",0,0,0,0,0,3e-05,0,3e-05
"46","C030","control",0,0,-1e-05,0,1e-05,0,0,0
"47","C031","control",0,-1e-05,-1e-05,0,0,0,0,0
"48","C032","control",2e-05,0,1e-05,1e-05,0,1e-05,2e-05,1e-05
"49","C033","control",1e-05,-1e-05,-1e-05,0,1e-05,0,0,-2e-05
"50","C034","control",1e-05,1e-05,0,1e-05,1e-05,1e-05,2e-05,1e-05
